image,name,cost,text,set,rarity,type,supertype,subtype,subtype2
ADNAN-ASESINO-ELITE,"ADNAN, ASESINO ELITE",3,"Frenesí. Temible. Siempre que esta unidad ataque, gana +1/+0 por cada desertor que controlas hasta el final del turno.",FUNDAMENTOS,PLATA,UNIDAD,-,DESERTOR,-
 AFMID-LA-MANO-DERECHA,"AFMID, LA MANO DERECHA",3,Frenesí. Aparición en juego: Hace 1 punto de daño por cada desertor que controlas a la unidad objetivo.,FUNDAMENTOS,PLATA,UNIDAD,-,DESERTOR,-
 AGUA-EN-EL-DESIERTO,AGUA EN EL DESIERTO,1,El jugador objetivo gana 5 vidas.,PACTO SECRETO,BRONCE,ACCION,-,RAPIDA,-
 AIXA-LA-GUERRERA,"AIXA, LA GUERRERA",5, Aparición en juego: Hasta tres unidades objetivo no pueden atacar ni bloquear hasta la próxima fase final de su controlador.,FUNDAMENTOS,ORO,UNIDAD,-,SOLDADO,-
 AIXA-TRONO-COMPARTIDO-COPIA,"AIXA, TRONO COMPARTIDO",3,"Aparición en juego: Puedes pagar 1 oro. Si lo haces, mira las primeras cuatro cartas de tu Reino. Puedes poner una carta de desertor o monje en tu mano. Pon el resto en el fondo.",TRONO COMPARTIDO,PLATA,UNIDAD,REALEZA,SOLDADO,-
 ALMIRANTE-FREDERICK,ALMIRANTE FREDERICK,4,"Dureza. Al principio de tu fase de combate, puedes descartar una carta de soldado o pirata para que esta unidad gane un contador +1/+1. Luego cada oponente puede descartar una carta. Si no lo hacen, gana Frenesí hasta el final del turno.",PACTO SECRETO,PLATA,UNIDAD,-,SOLDADO,PIRATA
 ALTAR-DE-IRIS-COPIA,ALTAR DE IRIS,2,"DURANTE TU TURNO, SI GANASTE 3 O MÁS VIDAS ESTE TURNO, PUEDES EROSIONAR PARA CREAR UNA FICHA ÁNGEL 3/3 CON EVASIÓN. EROSIÓN 2.",TRONO COMPARTIDO,ORO,MONUMENTO,-,MONJE,-
 ALUCA-CONDENADORA-COPIA,ALUCA CONDENADORA,3,"Aparición en juego: Puedes condenar hasta una otra unidad aliada objetivo. Si lo haces, Predicción 1, luego roba una carta. Siempre que una unidad aliada sea condenada, ganas 2 vidas.",TRONO COMPARTIDO,ORO,UNIDAD,-,DEMONIO,BRUJA
 ALUMNO-INESPERADO-COPIA,ALUMNO INESPERADO,4,Roba una carta por cada contador -1/-1 entre las unidades rivales.,TRONO COMPARTIDO,PLATA,ACCION,-,RAPIDA,INSECTO
 AMIGA-DE-LOS-ARBOLES,AMIGA DE LOS ARBOLES,2," Frenesí. Siempre que esta unidad haga daño de combate a un jugador, crea una copia de esta unidad.",PACTO SECRETO,BRONCE,UNIDAD,-,ANIMAL,-
